header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin
MM_NSD2_High_3	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MM_NSD2_High_4	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MM_NSD2_Low_1	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MM_NSD2_Low_2	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MM_NSD2_Low_3	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MM_NSD2_Low_4	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MM_NSD2_Low_5	NSD2	GEO	0	MM	Hematological (Leukemia)	Hematological
MOLM13	MOLM13	CCLE	0	AML	Hematological (Leukemia)	Hematological
MV411	MV411	CCLE	0	AML	Hematological (Leukemia)	Hematological
NALM6	NALM6	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological
NAMALWA	NAMALWA	CCLE	0	BL	Hematological (Lymphoma)	Hematological
NB4	NB4	CCLE	0	AML	Hematological (Leukemia)	Hematological
NCIH1437	NCIH1437	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH1563	NCIH1563	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH1573	NCIH1573	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH1975	NCIH1975	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH2087	NCIH2087	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH358	NCIH358	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH441	NCIH441	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH460.x	NCIH460	GEO	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH460.y	NCIH460	GEO	0	NSCLC	Solid Tumor	Epithelial tumors
NCIH596	NCIH596	CCLE	0	NSCLC	Solid Tumor	Epithelial tumors
NPC_HK1_1	HK1_1	GEO	1	NPC	Solid Tumor	Epithelial tumors
NPC_HK1_2	HK1_2	GEO	1	NPC	Solid Tumor	Epithelial tumors
NPC_HK1_3	HK1_3	GEO	1	NPC	Solid Tumor	Epithelial tumors
NUGC3	NUGC3	CCLE	0	GC	Solid Tumor	Digestive System
NUT_10-15_rep1	10-15	GEO	0	NUT	Solid Tumor	Epithelial tumors
NUT_10-15_rep2	10-15	GEO	0	NUT	Solid Tumor	Epithelial tumors
NUT_10-15_rep3	10-15	GEO	0	NUT	Solid Tumor	Epithelial tumors
NUT_10-15_rep4	10-15	GEO	0	NUT	Solid Tumor	Epithelial tumors
NUT_293TRex-Flp_rep1	293TRex	GEO	1	NUT	Solid Tumor	Epithelial tumors
NUT_293TRex-Flp_rep2	293TRex	GEO	1	NUT	Solid Tumor	Epithelial tumors
NUT_TC-797_rep1	TC-797	GEO	0	NUT	Solid Tumor	Epithelial tumors
NUT_TC-797_rep2	TC-797	GEO	0	NUT	Solid Tumor	Epithelial tumors
